search_term,search_term_inferred,freq
Milk,Milk,2885832
Curd,Curd,919580
Oil,Oil,732809
Chips,Chips,686739
Ice cream,Ice Cream,671018
Water,Water,548045
Paneer,Paneer,528764
Maggi,Maggi,520815
Lays,Lay's,512984
Bread,Bread,502520
Sugar,Sugar,429286
Butter,Butter,426249
Onion,Onion,373071
Tomato,Tomato,327050
Soda,Soda,324200
Ghee,Ghee,312027
Egg,Eggs,299497
Lemon,Lemon,294178
Eggs,Eggs,290083
Coke,Coca,285986
Dahi,Dahi,266632
vegetable,Vegetables,265958
Chocolate,Chocolates,261475
Garlic,Garlic,229712
Juice,Juice,221279
Cheese,Cheese,219196
Coconut,Coconut,218449
Amul,Amul,215529
Banana,Banana,209304
milk,Milk,193859
Potato,Potato,192380
Rice,Rice,190887
Poha,Poha,183866
Fruits,Fruits,182482
Cake,Cake,179632
Tea,Tea,179418
Salt,Salt,175120
Maggie,Maggi,173703
Bread,Breads,172103
chocolate,Chocolate,169111
Oreo,Oreo,160913
Ginger,Ginger,160574
Vim,Vim,160498
Vegetables,Vegetables,158548
Coffee,Coffee,151949
Carrot,Carrot,148724
Oats,Oats,145533
Atta,Aashirvaad,144490
Ice cream ,Ice Cream,143970
Chicken,Chicken,136995
Biscuits,Biscuits,135369
Popcorn,Popcorn,134589
Biscuit,Biscuits,133637
Apple,Apple,133520
Pav,Pav,133412
Pasta,Pasta,133242
icecream,Ice Cream,132295
Frooti,Frooti,128142
Dairy milk,Dairy Milk,127330
fruits,Fruits,125683
Magg,Maggi,123195
Chocolate ,Chocolate,120956
Kurkure,Kurkure,120864
Buttermilk,Buttermilk,120789
Yogurt,Yogurt,119349
Icecream,Ice Cream,116777
Bingo,Bingo,115977
Besan,Besan,114523
Maida,Maida,112600
Pepsi,Pepsi,111612
Lassi,Lassi,107567
Beans,Beans,106677
Holi,Holi,104035
Aata,Atta,103865
Vegetables ,Vegetables,102347
Jam,Jam,102203
Sprite,Sprite,101120
Jeera,Jeera,100963
Soup,Soup,100780
Noodles,Noodles,95969
Coconut ,Coconut,92350
Thum,Thums,90836
Ice,Ice,90639
Palak,Palak,87868
icecream,Cream,84594
Cucumber,Cucumber,83975
Soap,Soap,83824
Limca,Limca,82581
Coconut water,Coconut Water,82124
Milk ,Milk,81306
Coco,Coconut,80991
Vegetable ,Vegetables,80524
Ors,ORS,79344
Vegetable,Vegetables,78275
Surf,Surf,78001
Bisleri,Bisleri,76548
Ice,Ice Cream,75924
Harpic,Harpic,75544
Dahi,Dairy,75458
Nachos,Nachos,74800
Epigamia,Epigamia,74093
Maaza,Maaza,73333
Chilli,Chilli,73247
Toma,Tomato,71968
Cold drink,Soft Drink,71011
Mustard oil,Mustard Oil,70515
Icecream,Cream,69893
Veg,,69788
Dettol,Dettol,68627
Silk,Silk,67144
Kitkat,Kitkat,66863
Sting,Sting,65315
Peas,Peas,64998
Haldiram,Haldiram's,64952
Tender,Tender,64683
Fortune,Fortune,64377
Rin,Rin,64127
Golden grain ,Golden Grain,63691
Gulal,Gulal,63649
Red bull,Red Bull,63553
bread,Bread,62219
Honey,Honey,61583
Makhana,Makhana,61471
Lizol,Lizol,61338
Thums,Thums Up,60606
curd,Curd,60247
Wai wai,Wai Wai,59566
Cadbury,Cadbury,59452
Ice Cream,Ice Cream,59360
Lays,Lays,59307
Grapes,Grapes,59201
Rusk,Rusk,58807
Orange,Orange,58529
Tonic,Tonic,58409
Mango,Mango,58368
Dosa,Dosa,58203
Condom,Condoms,57898
Dahi,,57791
Redbull,Bull,57667
Bana,Banana,57478
Biscuits ,Biscuits,56578
Coriander,Coriander,56526
Whiskas,Whiskas,55620
Kur,Kurkure,55317
Paper boat,Paper Boat,53010
Pedigree,Pedigree,52590
Tomato ,Tomato,52307
Amul milk,Amul Milk,52140
Perk,Perk,52128
Coke,Coke,51618
Ginger ale,Ginger Ale,51422
Vege,Vegetables,51407
Moong,Moong,51317
Soft Drink,Soft Drink,50411
Cream,Cream,49762
Mayo,Mayonnaise,49318
Aloo,Aloo,49273
Papad,Papad,48980
Too yum,Too Yumm,48760
Dal,Dal,48739
Fruit,Fruits,47987
Bauli,Bauli,47852
Tom,Tomato,47441
Amul ,Amul,47410
Soya,Soya,46918
Chip,Chips,46743
Butter milk,Buttermilk,46158
Choco,Chocolate,45486
Methi,Methi,45279
Maggie ,Maggi,44788
Choc,Chocolate,44679
Water ,Water,44650
Tide,Tide,44503
Cheetos,Cheetos,44465
Coconut milk,Coconut Milk,44300
Whisper,Whisper,44254
Mushroom,Mushrooms,43852
Doritos,Doritos,43726
Curry,Curry,43725
Tang,Tang,43551
Coca,Coca,43400
Cup noodles,Cup Noodles,43217
Tomat,Tomato,43208
Sooji,Sooji,42996
Wai,Wai,42547
Milk,Milkshake,42453
chips,Chips,42445
Toothpaste,Toothpaste,42416
